Point	Label	1	2	3	4	5	
833	V	1	0	1	1	0	
834	V	1	0	1	1	0	
835	X	0	0	0	0	0	
836	N	0	1	1	1	0	
837	K	0	1	0	1	1	
838	R	1	0	0	1	0	
839	V	1	0	1	1	0	
840	U	1	0	1	0	1	
841	O	0	1	1	1	1	
842	D	0	0	1	0	0	
843	L	0	1	1	0	0	
844	M	0	1	1	0	1	
845	D	0	0	1	0	0	
846	E	0	0	1	0	1	
847	X	0	0	0	0	0	
848	L	0	1	1	0	0	
849	I	0	1	0	0	1	
850	P	1	0	0	0	0	
851	K	0	1	0	1	1	
852	N	0	1	1	1	0	
853	N	0	1	1	1	0	
854	K	0	1	0	1	1	
855	R	1	0	0	1	0	
856	V	1	0	1	1	0	
857	V	1	0	1	1	0	
858	O	0	1	1	1	1	
859	U	1	0	1	0	1	
860	J	0	1	0	1	0	
861	G	0	0	1	1	1	
862	X	0	0	0	0	0	
863	X	0	0	0	0	0	
864	L	0	1	1	0	0	
865	I	0	1	0	0	1	
866	Q	1	0	0	0	1	
867	G	0	0	1	1	1	
868	L	0	1	1	0	0	
869	A	0	0	0	0	1	
870	F	0	0	1	1	0	
871	N	0	1	1	1	0	
872	N	0	1	1	1	0	
873	X	0	0	0	0	0	
874	N	0	1	1	1	0	
875	K	0	1	0	1	1	
876	S	1	0	0	1	1	
877	F	0	0	1	1	0	
878	N	0	1	1	1	0	
879	C	0	0	0	1	1	
880	G	0	0	1	1	1	
881	M	0	1	1	0	1	
882	B	0	0	0	1	0	
883	H	0	1	0	0	0	
884	K	0	1	0	1	1	
885	X	0	0	0	0	0	
886	M	0	1	1	0	1	
887	B	0	0	0	1	0	
888	N	0	1	1	1	0	
889	W	1	0	1	1	1	
890	C	0	0	0	1	1	
891	G	0	0	1	1	1	
892	A	0	0	0	0	1	
893	L	0	1	1	0	0	
894	E	0	0	1	0	1	
895	R	1	0	0	1	0	
896	V	1	0	1	1	0	
897	V	1	0	1	1	0	
898	O	0	1	1	1	1	
899	W	1	0	1	1	1	
900	S	1	0	0	1	1	
901	G	0	0	1	1	1	
902	O	0	1	1	1	1	
903	V	1	0	1	1	0	
904	K	0	1	0	1	1	
905	C	0	0	0	1	1	
906	S	1	0	0	1	1	
907	G	0	0	1	1	1	
908	O	0	1	1	1	1	
909	V	1	0	1	1	0	
910	I	0	1	0	0	1	
911	A	0	0	0	0	1	
912	L	0	1	1	0	0	
913	L	0	1	1	0	0	
914	I	0	1	0	0	1	
915	U	1	0	1	0	1	
916	O	0	1	1	1	1	
917	B	0	0	0	1	0	
918	K	0	1	0	1	1	
919	C	0	0	0	1	1	
920	L	0	1	1	0	0	
921	I	0	1	0	0	1	
922	U	1	0	1	0	1	
923	Q	1	0	0	0	1	
924	F	0	0	1	1	0	
925	S	1	0	0	1	1	
926	Z	1	1	0	0	0	
927	Z	1	1	0	0	0	
