THRESHOLD NUMBER OF HITS =258
********             SOLID SEQUENCES                  ********
Sequence UA -> AF -> FC -> CN -> NH -> HO -> OV -> VZ (UAFCNHOVZ)  [COUNT 2]
Sequence UO -> OD (UOD)  [COUNT 3]
Sequence UO -> OD -> DL (UODL)  [COUNT 3]
Sequence UO -> OD -> DL -> LL (UODLL)  [COUNT 2]
********             HOLLOW SEQUENCES                  ********
Sequence IQ X =11 Y =61 HITS =254

Sequence QG X =26 Y =10 HITS =176

Sequence FN X =67 Y =56 HITS =86

Sequence LF X =67 Y =90 HITS =132

Sequence ND X =91 Y =90 HITS =254

Sequence DM X =53 Y =63 HITS =248

Sequence DZ X =1 Y =36 HITS =68

Sequence ZS X =52 Y =20 HITS =222

Sequence SE X =34 Y =8 HITS =110

Sequence ET X =30 Y =52 HITS =36

Sequence TI X =9 Y =7 HITS =176

Sequence LN X =85 Y =30 HITS =148

Sequence NJ X =84 Y =46 HITS =237

Sequence AL X =19 Y =81 HITS =256

Sequence NG X =83 Y =88 HITS =132

Sequence LB X =8 Y =100 HITS =119

Sequence GM X =53 Y =55 HITS =98

Sequence DE X =100 Y =43 HITS =236

Sequence BW X =12 Y =41 HITS =40

Sequence WM X =27 Y =16 HITS =57

Sequence MO X =79 Y =27 HITS =39

Sequence OS X =12 Y =24 HITS =33

Sequence SQ X =84 Y =21 HITS =187

Sequence QL X =9 Y =16 HITS =27

Sequence LU X =18 Y =36 HITS =120

Sequence AE X =81 Y =71 HITS =39

Sequence VT X =79 Y =9 HITS =112

Sequence TE X =52 Y =7 HITS =110

Sequence EQ X =6 Y =63 HITS =32

Sequence QF X =20 Y =6 HITS =130

Sequence FT X =30 Y =46 HITS =40

Sequence TF X =48 Y =14 HITS =37

Sequence FR X =20 Y =56 HITS =194

Sequence IP X =1 Y =53 HITS =113

Sequence PK X =13 Y =14 HITS =160

Sequence NL X =90 Y =37 HITS =157

Sequence JF X =41 Y =100 HITS =131

Sequence VO X =32 Y =23 HITS =227

Sequence OQ X =8 Y =26 HITS =32

Sequence DV X =23 Y =48 HITS =97

Sequence KT X =5 Y =30 HITS =110

Sequence IM X =73 Y =60 HITS =84

Sequence LM X =91 Y =30 HITS =152

Sequence NC X =71 Y =99 HITS =191

Sequence RU X =50 Y =30 HITS =230

Sequence UL X =34 Y =15 HITS =206

Sequence NW X =18 Y =30 HITS =122

Sequence WC X =46 Y =7 HITS =198

Sequence SR X =91 Y =22 HITS =36

Sequence SF X =40 Y =8 HITS =116

Sequence FE X =100 Y =53 HITS =67

Sequence VR X =73 Y =9 HITS =213

Sequence VK X =1 Y =5 HITS =246

Sequence KD X =7 Y =94 HITS =35

Sequence DI X =29 Y =80 HITS =210

Sequence AQ X =2 Y =74 HITS =137

Sequence KW X =12 Y =32 HITS =127

Sequence RD X =37 Y =1 HITS =196

Sequence DJ X =10 Y =83 HITS =100

Sequence JZ X =37 Y =41 HITS =85

Sequence ZP X =63 Y =1 HITS =135

Sequence PH X =30 Y =1 HITS =113

Sequence KZ X =31 Y =37 HITS =41

Sequence ZQ X =63 Y =16 HITS =179

Sequence QU X =73 Y =28 HITS =89

Sequence GB X =96 Y =64 HITS =89

Sequence HK X =79 Y =60 HITS =124

Sequence VP X =63 Y =8 HITS =85

Sequence PG X =15 Y =9 HITS =32

Sequence GQ X =7 Y =54 HITS =80

Sequence QZ X =55 Y =40 HITS =93

Sequence ZV X =43 Y =28 HITS =116

Sequence WV X =93 Y =6 HITS =124

Sequence RW X =62 Y =33 HITS =131

Sequence WJ X =6 Y =1 HITS =50

Sequence OU X =16 Y =24 HITS =116

Sequence VI X =1 Y =11 HITS =219

Sequence WS X =76 Y =2 HITS =200

Sequence SG X =42 Y =15 HITS =111

Sequence GO X =61 Y =49 HITS =90

Sequence AM X =43 Y =72 HITS =48

Sequence BK X =52 Y =71 HITS =205

Sequence CS X =37 Y =55 HITS =37

Sequence ZZ X =94 Y =12 HITS =173

Sequence KS X =24 Y =41 HITS =165

Sequence QN X =1 Y =24 HITS =154

Sequence BG X =66 Y =72 HITS =96

Sequence ZW X =38 Y =34 HITS =43

Sequence WN X =38 Y =21 HITS =37

Sequence UJ X =1 Y =17 HITS =66

Sequence VU X =77 Y =17 HITS =126

Sequence UV X =70 Y =18 HITS =93

Sequence VQ X =54 Y =13 HITS =95

Sequence QQ X =100 Y =16 HITS =194

Sequence WT X =76 Y =2 HITS =200

Sequence TU X =88 Y =12 HITS =73

Sequence UU X =94 Y =12 HITS =173

Sequence WU X =85 Y =7 HITS =37

Sequence OB X =81 Y =97 HITS =196

Sequence IZ X =37 Y =48 HITS =40

Sequence NI X =53 Y =48 HITS =9

Sequence II X =100 Y =36 HITS =129

Sequence UI X =13 Y =1 HITS =85

Sequence NM X =83 Y =38 HITS =50

Sequence HI X =95 Y =43 HITS =40

Sequence CH X =44 Y =89 HITS =53

Sequence HC X =54 Y =91 HITS =37

Sequence QH X =24 Y =1 HITS =131

