THRESHOLD NUMBER OF HITS =393
********             SOLID SEQUENCES                  ********
Sequence JG -> GA -> AL -> LL -> LB (JGALLB)  [COUNT 16]
Sequence JG -> GA -> AL -> LL -> LB -> BN (JGALLBN)  [COUNT 16]
Sequence JG -> GA -> AL -> LL -> LB -> BN -> NN (JGALLBNN)  [COUNT 16]
Sequence JG -> GA -> AL -> LL -> LB -> BN -> NN -> ND (JGALLBNND)  [COUNT 16]
Sequence JG -> GA -> AL -> LL -> LB -> BN -> NN -> ND -> DL (JGALLBNNDL)  [COUNT 16]
Sequence JG -> GA -> AL -> LL -> LB -> BN -> NN -> ND -> DL -> LM (JGALLBNNDLM)  [COUNT 16]
Sequence JG -> GA -> AL -> LL -> LB -> BN -> NN -> ND -> DL -> LM -> MD (JGALLBNNDLMD)  [COUNT 16]
Sequence JG -> GA -> AL -> LL -> LB -> BN -> NN -> ND -> DL -> LM -> MD -> DE (JGALLBNNDLMDE)  [COUNT 16]
Sequence IL -> LL -> LI (ILLI)  [COUNT 23]
Sequence ZZ -> ZQ (ZZQ)  [COUNT 28]
Sequence GA -> AL (GAL)  [COUNT 11]
Sequence IL -> LM -> MD -> DL (ILMDL)  [COUNT 7]
Sequence LL -> LN -> NN -> ND -> DL -> LL -> LB (LLNNDLLB)  [COUNT 7]
Sequence LL -> LN -> NN -> ND -> DL -> LL -> LB -> BN (LLNNDLLBN)  [COUNT 7]
Sequence JG -> GA -> AL -> LM (JGALM)  [COUNT 14]
Sequence JG -> GA -> AL -> LM -> MD (JGALMD)  [COUNT 14]
Sequence JG -> GA -> AL -> LM -> MD -> DE (JGALMDE)  [COUNT 14]
Sequence MB -> BK (MBK)  [COUNT 13]
Sequence MB -> BK -> KC (MBKC)  [COUNT 13]
Sequence CN -> NN -> ND -> DL -> LL -> LB (CNNDLLB)  [COUNT 7]
Sequence CN -> NN -> ND -> DL -> LL -> LB -> BN (CNNDLLBN)  [COUNT 7]
Sequence JG -> GA -> AL -> LL -> LM (JGALLM)  [COUNT 14]
Sequence JG -> GA -> AL -> LL -> LM -> MD (JGALLMD)  [COUNT 14]
Sequence JG -> GA -> AL -> LL -> LM -> MD -> DE (JGALLMDE)  [COUNT 14]
Sequence UO -> OB -> BK (UOBK)  [COUNT 27]
Sequence UO -> OB -> BK -> KC (UOBKC)  [COUNT 27]
Sequence UO -> OB -> BK -> KC -> CN (UOBKCN)  [COUNT 7]
Sequence UO -> OB -> BK -> KC -> CN -> NN (UOBKCNN)  [COUNT 7]
Sequence UO -> OB -> BK -> KC -> CN -> NN -> NK (UOBKCNNK)  [COUNT 7]
Sequence JG -> GA -> AL -> LL -> LA (JGALLA)  [COUNT 7]
Sequence OB -> BK (OBK)  [COUNT 18]
Sequence OB -> BK -> KC (OBKC)  [COUNT 12]
Sequence OB -> BK -> KC -> CN (OBKCN)  [COUNT 6]
Sequence CG -> GA (CGA)  [COUNT 22]
Sequence CG -> GA -> AL (CGAL)  [COUNT 17]
Sequence SG -> GO (SGO)  [COUNT 43]
Sequence FN -> NC -> CG (FNCG)  [COUNT 18]
Sequence JG -> GA -> AN (JGAN)  [COUNT 9]
Sequence JG -> GA -> AN -> NC (JGANC)  [COUNT 9]
Sequence LA -> AN (LAN)  [COUNT 24]
Sequence LA -> AN -> NK (LANK)  [COUNT 24]
Sequence SG -> GO -> OV (SGOV)  [COUNT 21]
Sequence IA -> AN (IAN)  [COUNT 13]
Sequence KN -> NN (KNN)  [COUNT 46]
Sequence KN -> NN -> NK (KNNK)  [COUNT 33]
Sequence ZS -> SZ (ZSZ)  [COUNT 26]
Sequence ZS -> SZ -> ZZ (ZSZZ)  [COUNT 26]
Sequence ZS -> SZ -> ZZ -> ZQ (ZSZZQ)  [COUNT 22]
Sequence SG -> GO -> OV -> VK (SGOVK)  [COUNT 8]
Sequence SG -> GO -> OV -> VK -> KC (SGOVKC)  [COUNT 8]
Sequence SZ -> ZZ (SZZ)  [COUNT 8]
Sequence SZ -> ZZ -> ZQ (SZZQ)  [COUNT 8]
Sequence IA -> AN -> NK (IANK)  [COUNT 8]
Sequence AF -> FC -> CN -> NH -> HO -> OW (AFCNHOW)  [COUNT 10]
Sequence SG -> GO -> OW (SGOW)  [COUNT 8]
Sequence HO -> OW (HOW)  [COUNT 6]
Sequence UL -> LA (ULA)  [COUNT 9]
Sequence UL -> LA -> AL (ULAL)  [COUNT 2]
Sequence UL -> LA -> AL -> LL (ULALL)  [COUNT 2]
Sequence UL -> LA -> AL -> LL -> LI (ULALLI)  [COUNT 2]
Sequence UL -> LB (ULB)  [COUNT 4]
Sequence UL -> LB -> BN (ULBN)  [COUNT 4]
Sequence UL -> LA -> AN (ULAN)  [COUNT 7]
Sequence UL -> LA -> AN -> NK (ULANK)  [COUNT 7]
Sequence NC -> CL (NCL)  [COUNT 4]
Sequence NC -> CL -> LI (NCLI)  [COUNT 1]
Sequence UO -> OB -> BK -> KC -> CL (UOBKCL)  [COUNT 2]
Sequence UO -> OB -> BK -> KC -> CL -> LI (UOBKCLI)  [COUNT 2]
Sequence VO -> OV (VOV)  [COUNT 1]
