Point	Label	1	2	3	4	5	
512	H	0	1	0	0	0	
513	I	0	1	0	0	1	
514	M	0	1	1	0	1	
515	B	0	0	0	1	0	
516	M	0	1	1	0	1	
517	R	1	0	0	1	0	
518	O	0	1	1	1	1	
519	D	0	0	1	0	0	
520	L	0	1	1	0	0	
521	M	0	1	1	0	1	
522	D	0	0	1	0	0	
523	E	0	0	1	0	1	
524	I	0	1	0	0	1	
525	G	0	0	1	1	1	
526	O	0	1	1	1	1	
527	B	0	0	0	1	0	
528	K	0	1	0	1	1	
529	C	0	0	0	1	1	
530	N	0	1	1	1	0	
531	N	0	1	1	1	0	
532	J	0	1	0	1	0	
533	G	0	0	1	1	1	
534	A	0	0	0	0	1	
535	M	0	1	1	0	1	
536	B	0	0	0	1	0	
537	H	0	1	0	0	0	
538	K	0	1	0	1	1	
539	V	1	0	1	1	0	
540	I	0	1	0	0	1	
541	A	0	0	0	0	1	
542	N	0	1	1	1	0	
543	K	0	1	0	1	1	
544	V	1	0	1	1	0	
545	K	0	1	0	1	1	
546	C	0	0	0	1	1	
547	S	1	0	0	1	1	
548	G	0	0	1	1	1	
549	O	0	1	1	1	1	
550	Z	1	1	0	0	0	
551	Q	1	0	0	0	1	
552	Z	1	1	0	0	0	
553	W	1	0	1	1	1	
554	C	0	0	0	1	1	
555	G	0	0	1	1	1	
556	A	0	0	0	0	1	
557	L	0	1	1	0	0	
558	E	0	0	1	0	1	
559	S	1	0	0	1	1	
560	F	0	0	1	1	0	
561	N	0	1	1	1	0	
562	C	0	0	0	1	1	
563	X	0	0	0	0	0	
564	X	0	0	0	0	0	
565	L	0	1	1	0	0	
566	I	0	1	0	0	1	
567	O	0	1	1	1	1	
568	V	1	0	1	1	0	
569	V	1	0	1	1	0	
570	T	1	0	1	0	0	
571	E	0	0	1	0	1	
572	O	0	1	1	1	1	
573	A	0	0	0	0	1	
574	Q	1	0	0	0	1	
575	F	0	0	1	1	0	
576	R	1	0	0	1	0	
577	U	1	0	1	0	1	
578	O	0	1	1	1	1	
579	A	0	0	0	0	1	
580	Q	1	0	0	0	1	
581	F	0	0	1	1	0	
582	R	1	0	0	1	0	
583	V	1	0	1	1	0	
584	I	0	1	0	0	1	
585	A	0	0	0	0	1	
586	Q	1	0	0	0	1	
587	F	0	0	1	1	0	
588	S	1	0	0	1	1	
589	W	1	0	1	1	1	
590	R	1	0	0	1	0	
591	B	0	0	0	1	0	
592	M	0	1	1	0	1	
593	D	0	0	1	0	0	
594	E	0	0	1	0	1	
