Point	Label	1	2	3	4	5		
439	N	0	1	1	1	0		
440	N	0	1	1	1	0		
441	K	0	1	0	1	1		
442	R	1	0	0	1	0		
443	V	1	0	1	1	0		
444	V	1	0	1	1	0		
445	P	1	0	0	0	0		
446	H	0	1	0	0	0		
447	R	1	0	0	1	0		
448	D	0	0	1	0	0		
449	I	0	1	0	0	1		
450	A	0	0	0	0	1		
451	N	0	1	1	1	0		
452	K	0	1	0	1	1		
453	V	1	0	1	1	0		
454	J	0	1	0	1	0		
455	Z	1	1	0	0	0		
456	Q	1	0	0	0	1		
457	Z	1	1	0	0	0		
458	V	1	0	1	1	0		
459	O	0	1	1	1	1		
460	Z	1	1	0	0	0		
461	Q	1	0	0	0	1		
462	Z	1	1	0	0	0		
463	U	1	0	1	0	1		
464	L	0	1	1	0	0		
465	A	0	0	0	0	1		
466	N	0	1	1	1	0		
467	J	0	1	0	1	0		
468	G	0	0	1	1	1		
469	A	0	0	0	0	1		
470	L	0	1	1	0	0		
471	M	0	1	1	0	1		
472	D	0	0	1	0	0		
473	E	0	0	1	0	1		
474	I	0	1	0	0	1		
475	O	0	1	1	1	1		
476	V	1	0	1	1	0		
477	V	1	0	1	1	0		
478	T	1	0	1	0	0		
479	E	0	0	1	0	1		
480	P	1	0	0	0	0		
481	W	1	0	1	1	1		
482	K	0	1	0	1	1		
483	N	0	1	1	1	0		
484	N	0	1	1	1	0		
485	K	0	1	0	1	1		
486	W	1	0	1	1	1		
487	S	1	0	0	1	1		
488	G	0	0	1	1	1		
489	O	0	1	1	1	1		
490	U	1	0	1	0	1		
491	I	0	1	0	0	1		
492	L	0	1	1	0	0		
493	L	0	1	1	0	0		
494	J	0	1	0	1	0		
495	F	0	0	1	1	0		
496	D	0	0	1	0	0		
497	X	0	0	0	0	0		
